,gemeente,VVD,CDA,PVV,D66,SP,GL,PVDA,CU,50PLUS,Partij voor de Dieren,SGP,Forum voor Democratie,DENK,VNL (VoorNederland),Piratenpartij,NIEUWE WEGEN,OndernemersPartij,Artikel 1,Lokaal in de Kamer,Niet Stemmers,De Burger Beweging,GeenPeil,Vrijzinnige Partij,JEZUS LEEFT,Libertarische Partij (LP),MenS en Spirit / Basisinkomen Partij / V-R,StemNL,Vrije Democratische Partij (VDP),Partij
374,Onderbanken,785,733,1265,418,796,319,152,27,245,156,9,103,8,26,9.0,21,8,1.0,,5.0,4.0,2.0,1.0,,1.0,,,,PVV
375,Peel en Maas,6045,6327,4471,2525,2839,1291,821,98,1203,486,41,490,143,122,59.0,98,48,6.0,,20.0,10.0,14.0,7.0,,5.0,,,,CDA
376,Roerdalen,2341,2135,3044,1148,1471,682,471,69,742,364,16,284,27,55,24.0,14,24,0.0,,13.0,7.0,4.0,3.0,,2.0,,,,PVV
377,Roermond,6169,3907,6169,3596,3753,2595,1325,227,1333,1069,27,902,1384,133,83.0,50,45,29.0,,33.0,34.0,30.0,11.0,,14.0,,,,VVD
378,Schinnen,1548,1576,1441,1000,1132,591,341,69,443,306,20,170,7,32,21.0,14,4,2.0,,6.0,8.0,8.0,1.0,,1.0,,,,CDA
379,Simpelveld,1059,1154,1510,582,991,383,300,27,316,186,7,95,3,10,17.0,5,15,1.0,,2.0,4.0,3.0,3.0,,0.0,,,,PVV
380,Sittard-Geleen,8944,8609,12115,6130,7525,4576,2450,388,2745,1993,42,1141,570,188,156.0,68,84,21.0,,41.0,27.0,36.0,15.0,,9.0,,,,PVV
381,Stein,2749,2348,3784,1484,2433,1010,573,80,1000,513,24,342,36,67,45.0,28,45,6.0,,17.0,9.0,7.0,4.0,,6.0,,,,PVV
382,Vaals,783,711,989,376,662,315,257,30,242,174,4,100,4,9,12.0,4,2,1.0,,2.0,3.0,0.0,1.0,,4.0,,,,PVV
383,Valkenburg aan de Geul,2294,1843,2012,1243,1156,762,448,86,533,356,12,253,14,29,22.0,10,8,3.0,,5.0,4.0,6.0,2.0,,0.0,,,,VVD
384,Venlo,11199,7367,11672,5777,7004,4138,2285,330,2687,1456,68,1240,1936,162,149.0,76,60,22.0,,39.0,24.0,34.0,22.0,,5.0,,,,PVV
385,Venray,5798,4741,3358,2944,4265,1583,1035,175,833,431,45,386,506,93,52.0,21,43,12.0,,27.0,11.0,12.0,9.0,,0.0,,,,VVD
386,Voerendaal,1635,1473,1428,1007,1115,533,388,60,395,245,5,133,15,15,11.0,22,10,3.0,,4.0,6.0,4.0,2.0,,0.0,,,,VVD
387,Weert,6651,4493,5395,3389,3651,1765,1135,208,1452,691,34,708,735,131,79.0,63,39,9.0,,31.0,13.0,14.0,17.0,,3.0,,,,VVD
388,Bonaire,397,413,122,727,77,222,209,92,41,113,12,39,16,13,,6,4,38.0,,,,,,,,,,,D66
389,Saba,13,40,11,115,100,62,25,4,2,2,0,4,0,2,,1,1,1.0,,,,,,,,,,,D66
390,Sint Eustatius,6,338,8,27,8,15,5,4,2,3,0,2,0,0,,0,0,14.0,,,,,,,,,,,CDA
