gemeente,VVD,PVDA,PVV,SP,CDA,D66,CU,GL,SGP,Partij voor de Dieren,50PLUS,Piratenpartij,Partij voor Mens en Spirit (MenS),SOPN,Partij van de Toekomst (PvdT),Democratisch Politiek Keerpunt DPK,Libertarische Partij (LP),Nederland Lokaal,Liberaal Democratische Partij (LibDem),Anti Europa Partij,Politieke Partij NXD,Partij
SkarsterlÌÄå¢n,4167,5061,1184,1272,2633,903,452,204,78,210,195,36,44,34,25,11,7,5,1,5,0,PVDA
Sliedrecht,2817,2720,1258,1025,1184,454,1506,124,2266,193,256,35,17,13,7,2,3,0,1,4,0,VVD
Slochteren,1987,2880,704,919,717,482,828,181,119,206,117,19,11,13,10,8,2,8,0,0,0,PVDA
Sluis,4251,3168,1546,1350,1429,617,208,200,114,208,235,23,18,45,12,11,6,4,30,3,0,VVD
Smallingerland,5120,11353,2450,3273,4102,1496,2974,501,419,431,372,77,76,48,29,23,11,20,29,3,0,PVDA
Soest,10312,4931,2244,1615,2067,2481,834,631,407,521,553,84,61,63,21,19,7,4,7,8,0,VVD
Someren,3576,1652,1301,1435,1514,607,55,107,5,121,293,25,24,11,8,13,7,2,1,3,0,VVD
Son en Breugel,3523,1613,750,1012,965,911,74,152,15,131,227,23,18,13,6,7,0,2,2,1,0,VVD
Spijkenisse,9046,9917,7947,4257,1574,1569,714,406,222,1006,1134,162,42,58,43,72,11,14,3,14,0,PVDA
Stadskanaal,2792,6010,1747,2177,2320,520,1737,157,250,231,228,27,15,37,20,10,7,4,1,8,0,PVDA
Staphorst,1815,785,610,258,1147,183,1643,52,3223,55,66,17,4,5,5,4,0,0,0,3,0,SGP
Stede Broec,3848,2701,1420,1203,1126,746,128,178,49,258,515,47,24,37,25,14,6,4,3,4,0,VVD
Steenbergen,3921,2698,2195,1416,1019,648,167,129,166,243,272,28,11,12,5,9,5,17,1,2,0,VVD
Steenwijkerland,7230,6686,2144,2149,3436,1386,1735,389,301,406,356,72,51,34,16,18,9,5,6,7,0,VVD
Stein,2992,3191,3203,2218,1234,786,45,217,11,305,456,37,41,45,14,13,3,6,2,0,0,PVV
Stichtse Vecht,13402,7647,3830,2285,2912,3405,1048,870,804,741,738,88,57,22,28,25,29,10,4,7,0,VVD
Strijen,1658,1071,678,371,554,271,295,73,202,129,101,12,12,6,3,3,0,0,0,1,0,VVD
SÌÄå¼dwest-FryslÌÄå¢n,11268,14224,3490,4359,8900,2617,1551,861,198,690,607,131,112,85,37,45,15,10,5,8,0,PVDA
Ten Boer,666,1471,241,431,516,232,596,116,93,66,52,11,7,2,4,3,1,0,1,0,0,PVDA
Terneuzen,6443,7061,3823,2812,2686,1269,1410,372,1241,394,520,69,37,51,32,32,12,27,17,6,0,PVDA
Terschelling,1311,1275,276,349,418,321,112,133,22,103,82,8,7,3,1,3,0,0,0,1,0,VVD
Texel,3437,2409,703,961,964,843,196,325,68,244,196,18,34,10,4,7,2,4,0,1,0,VVD
Teylingen,8729,3861,1630,1247,2113,2047,339,405,61,364,460,66,41,12,16,20,12,1,3,3,0,VVD
Tholen,2952,2426,1622,1115,1149,359,882,88,3536,221,196,27,13,9,10,16,2,5,5,0,0,SGP
Tiel,6236,5976,2849,1978,1231,1305,390,368,169,407,382,59,37,27,17,13,7,0,4,9,0,VVD
Tilburg,25079,28038,10855,14732,6534,10436,604,2802,132,1983,2544,386,189,152,113,109,49,14,28,26,0,PVDA
Tubbergen,4266,1586,1124,895,3754,549,56,72,14,79,181,25,16,22,14,16,4,5,1,4,0,VVD
Twenterand,3550,3639,2017,1561,4242,534,2187,163,812,186,261,42,17,22,15,25,1,4,5,6,0,CDA
Tynaarlo,5727,6612,1118,1402,1431,1939,704,583,53,382,266,56,35,23,8,7,8,72,3,2,0,PVDA
Tytsjerksteradiel,3392,6049,1231,1714,3434,822,1205,348,191,243,193,48,43,16,19,8,8,7,2,4,0,PVDA
Ubbergen,1370,1613,380,753,614,601,33,296,7,159,118,13,21,6,1,4,3,3,2,2,0,PVDA
Uden,7608,4429,2314,3809,2318,1770,87,321,15,322,504,43,53,32,19,12,12,2,8,4,0,VVD
Uitgeest,2825,1895,666,623,538,672,49,169,9,165,164,25,12,8,4,7,3,2,2,1,0,VVD
Uithoorn,6695,3182,1613,1025,1027,1329,216,335,36,365,414,59,31,16,21,24,14,4,2,8,0,VVD
Urk,635,97,884,78,1275,19,1816,12,5161,16,22,40,3,3,2,1,2,0,0,1,0,SGP
Utrecht,38406,53015,11208,12782,7537,31325,3769,12048,607,4135,1971,898,344,198,91,47,119,15,46,19,0,PVDA
Utrechtse Heuvelrug,10377,5654,1916,1674,2680,3117,947,1037,1302,721,539,60,85,37,19,18,5,3,16,0,0,VVD
Vaals,771,1069,776,615,377,245,44,83,12,94,99,19,7,14,4,2,1,1,0,1,0,PVDA
Valkenburg aan de Geul,2745,2035,1625,1196,1149,808,66,193,8,245,200,27,34,14,6,5,0,3,7,1,0,VVD
Valkenswaard,5201,3691,2139,2604,1789,1126,88,248,11,242,577,44,23,33,18,20,3,5,16,1,0,VVD
Veendam,2761,6678,1506,1920,905,699,468,176,68,279,236,31,27,13,10,7,3,5,2,14,0,PVDA
Veenendaal,9589,6084,3343,1935,3427,1701,4765,397,3927,389,541,73,44,27,18,17,17,4,3,5,0,VVD
Veere,4196,2807,884,899,2006,806,753,255,1991,285,228,23,21,14,6,4,3,4,4,1,0,VVD
Veghel,6736,4086,2061,2921,2683,1458,66,263,12,259,396,72,25,15,19,19,5,2,4,3,0,VVD
Veldhoven,7396,5282,2811,3554,2286,1929,240,374,27,396,807,84,38,34,34,22,5,4,6,6,0,VVD
Velsen,10916,9851,4838,3251,2216,2776,771,735,98,945,1085,150,52,43,40,47,9,9,9,9,0,VVD
Venlo,12940,10808,10668,6435,4296,3156,246,1127,49,788,1113,141,132,56,42,46,18,9,7,11,0,VVD
Venray,6531,4542,2650,4061,2992,1651,118,348,19,241,580,56,35,31,16,19,5,3,7,3,0,VVD
Vianen,3470,2526,1346,814,936,768,357,203,327,211,255,25,13,13,8,6,9,4,2,3,0,VVD
Vlaardingen,8932,10363,5721,3895,2427,2279,972,747,624,891,1008,133,56,45,26,27,11,6,5,15,0,PVDA
Vlagtwedde,1752,3013,1134,1080,1025,314,302,147,51,192,141,23,16,19,7,7,2,3,0,1,0,PVDA
Vlieland,324,334,52,87,69,123,29,65,0,43,19,4,2,0,0,0,0,1,0,0,0,PVDA
Vlissingen,5212,6733,2837,2783,1573,1250,688,411,536,526,560,90,62,43,27,19,4,10,5,6,0,PVDA
Vlist,2075,954,538,294,693,337,314,86,698,101,94,6,4,5,4,2,3,2,1,0,0,VVD
Voerendaal,1883,1733,1191,979,909,558,34,135,9,131,157,25,28,18,4,4,3,1,0,1,0,VVD
Voorschoten,5460,2893,1125,720,1192,1818,226,482,53,339,241,42,29,15,7,15,7,3,3,3,0,VVD
Voorst,4606,3550,917,1132,1976,1158,200,244,259,223,217,24,39,15,8,20,4,3,1,4,0,VVD
Vught,4903,3228,1140,1893,1076,1642,64,378,12,237,299,41,18,22,12,8,4,1,1,0,0,VVD
Waalre,3466,1892,775,1004,920,1117,74,217,15,165,263,25,15,8,3,9,1,2,1,0,0,VVD
Waalwijk,7640,5055,3252,3020,2362,1543,648,359,526,379,796,66,46,24,31,14,16,8,6,8,0,VVD
Waddinxveen,4508,2763,1445,757,1365,911,1383,189,1249,232,317,43,19,10,11,18,5,4,3,3,0,VVD
Wageningen,3589,6207,963,1863,1285,3697,797,1661,233,480,214,100,36,26,6,6,11,2,8,2,0,PVDA
Wassenaar,7584,1572,1227,588,1168,1258,114,209,41,280,274,40,26,8,7,6,6,1,2,2,0,VVD
Waterland,3678,2417,1010,754,1153,963,154,288,23,250,217,26,12,15,9,11,3,1,3,0,0,VVD
Weert,8180,5550,4235,3692,2323,1772,138,384,29,387,685,49,51,49,29,30,8,11,7,8,0,VVD
Weesp,3041,2863,900,795,613,1074,112,317,43,222,265,30,20,19,6,9,5,2,3,1,0,VVD
Werkendam,4036,2254,1615,1106,2085,542,1098,167,1937,147,257,20,15,11,12,10,3,1,2,1,0,VVD
West Maas en Waal,3812,2249,1277,1463,1141,642,59,165,13,149,228,19,17,3,5,8,4,0,1,1,0,VVD
Westerveld,3948,3831,830,948,1194,834,297,333,57,283,162,20,65,24,15,16,3,3,1,0,0,VVD
Westervoort,2012,2582,1019,1244,653,581,142,187,23,156,178,41,24,7,10,11,2,1,0,0,0,PVDA
Westland,26039,7219,6949,2480,7797,3175,1793,610,956,846,1188,142,97,66,41,43,17,9,8,8,0,VVD
Weststellingwerf,3921,5018,1449,1391,1509,677,346,245,61,281,245,35,38,21,20,9,7,6,2,6,0,PVDA
Westvoorne,3820,1550,1045,455,581,499,112,91,38,189,172,16,19,5,4,6,1,1,5,0,0,VVD
Wierden,4313,2029,1146,963,3310,657,1278,127,479,109,220,27,21,13,8,16,14,0,3,1,0,VVD
Wijchen,6690,5668,2650,3581,2177,1918,137,413,19,356,472,63,30,17,18,18,18,1,6,6,0,VVD
Wijdemeren,6395,2490,1149,800,1276,1274,259,233,107,331,292,34,29,19,13,9,5,1,2,4,0,VVD
Wijk bij Duurstede,4747,2797,1477,1171,1003,1100,343,331,367,262,245,37,27,8,14,12,4,1,2,5,0,VVD
Winsum,1352,3010,418,920,1045,490,778,272,79,174,99,24,24,9,6,3,3,3,0,3,0,PVDA
Winterswijk,4486,5290,1183,1877,1518,1023,275,229,32,220,231,28,32,26,17,10,1,56,1,2,0,PVDA
Woensdrecht,3626,2201,1882,1288,1079,615,66,115,14,237,382,20,12,17,9,16,2,29,1,1,0,VVD
Woerden,10104,5762,2327,1648,3510,2561,1571,620,1085,511,522,76,58,21,22,14,11,23,5,5,0,VVD
Wormerland,2752,2599,839,1033,640,647,155,228,20,242,247,24,27,14,15,14,4,3,1,3,0,VVD
Woudenberg,2233,906,502,307,791,355,668,70,1417,74,82,19,7,8,2,4,1,0,1,0,0,VVD
Woudrichem,2357,1332,788,670,1288,327,1262,118,386,102,133,22,9,11,8,1,1,0,0,0,0,VVD
Zaanstad,19081,24515,9519,8686,4011,5135,1215,1783,286,2213,2224,294,140,152,104,89,46,19,20,25,0,PVDA
Zaltbommel,3917,2889,1309,1072,1244,904,1046,269,2319,190,212,32,23,10,13,11,6,5,0,0,0,VVD
Zandvoort,4114,1882,1195,584,425,706,41,130,11,312,269,63,26,20,8,10,3,4,2,1,0,VVD
Zederik,2214,1167,572,384,1378,256,1049,78,1175,102,99,13,4,3,5,9,2,4,2,1,0,VVD
Zeevang,1620,825,381,253,183,282,32,71,6,94,92,8,3,3,1,5,5,0,0,0,0,VVD
Zeewolde,4809,1846,1138,695,974,749,1029,166,226,204,193,30,33,19,9,12,6,0,1,3,0,VVD
Zeist,11250,8048,2681,2348,2387,3966,1131,1230,709,836,523,97,166,69,20,21,10,4,14,8,0,VVD
Zevenaar,5125,5241,1915,2293,1954,1376,149,335,15,312,454,53,38,16,13,15,5,0,10,2,0,PVDA
Zijpe,2557,1580,645,552,597,484,40,120,23,145,169,13,12,16,16,7,3,2,0,1,0,VVD
Zoetermeer,20448,17111,9080,5749,3625,5154,1682,1136,754,1541,1658,309,136,125,81,94,44,10,15,17,0,VVD
Zoeterwoude,1662,1038,458,360,597,477,44,121,45,105,80,16,5,1,4,5,2,5,0,1,0,VVD
Zuidhorn,1978,3066,537,928,1579,709,1766,310,237,167,94,21,28,8,8,6,7,8,0,1,0,PVDA
Zuidplas,8132,4122,2268,1358,1845,1539,1434,297,1740,457,376,59,36,22,23,33,15,13,0,3,0,VVD
Zundert,4034,1896,1402,1269,1374,679,62,109,8,146,235,17,12,14,6,11,4,2,4,3,0,VVD
Zutphen,5167,9347,1965,3417,1673,2512,689,1089,86,850,467,71,182,81,24,13,13,4,5,8,0,PVDA
Zwartewaterland,2266,1901,817,686,1584,327,2200,80,2686,72,149,22,13,5,11,9,1,0,3,0,0,SGP
Zwijndrecht,6726,5543,3392,2045,2192,1277,1512,300,1206,515,580,86,29,24,26,21,6,6,0,3,0,VVD
Zwolle,14198,21411,4328,6878,5403,6696,7355,2275,769,1288,871,289,154,121,43,28,19,13,8,14,0,PVDA
