gemeente,VVD,PVDA,PVV,SP,CDA,D66,CU,GL,SGP,Partij voor de Dieren,50PLUS,Piratenpartij,Partij voor Mens en Spirit (MenS),SOPN,Partij van de Toekomst (PvdT),Democratisch Politiek Keerpunt DPK,Libertarische Partij (LP),Nederland Lokaal,Liberaal Democratische Partij (LibDem),Anti Europa Partij,Politieke Partij NXD,Partij
Heeze-Leende,3245,1584,715,1198,1305,818,41,172,4,119,184,16,15,4,9,10,0,0,7,0,0,VVD
Heiloo,5117,3423,805,884,1250,1543,156,457,27,334,298,47,29,21,18,10,8,12,8,2,0,VVD
Hellendoorn,5021,4505,1665,2136,5056,1189,1177,250,191,224,344,34,23,18,19,22,5,5,3,4,0,CDA
Hellevoetsluis,6898,4908,3819,1975,809,1110,311,275,67,522,606,73,47,36,24,32,15,5,6,8,0,VVD
Helmond,11264,9696,6570,7134,2798,2573,209,628,31,651,999,134,56,67,58,54,22,35,12,8,0,VVD
Hendrik-Ido-Ambacht,4883,2895,1815,933,1281,735,968,170,2300,236,282,38,22,10,5,15,7,1,6,2,0,VVD
Hengelo,10243,13219,4009,6135,5251,3561,1078,854,125,743,797,170,83,87,29,34,18,8,10,8,0,PVDA
Het Bildt,1134,1929,443,618,1023,230,203,86,28,103,45,30,10,6,6,13,2,0,0,1,0,PVDA
Heumen,2866,2550,665,1254,1161,1052,49,300,5,153,140,22,17,11,6,3,4,0,3,3,0,VVD
Heusden,7910,4737,2949,2957,2404,1815,206,314,45,400,599,71,57,36,26,28,9,8,5,5,0,VVD
Hillegom,4593,2316,1362,818,973,973,134,237,88,314,318,32,26,10,13,13,7,3,5,3,0,VVD
Hilvarenbeek,3069,1813,601,1113,1258,704,37,182,5,143,190,22,15,6,14,6,1,1,4,0,0,VVD
Hilversum,14110,12139,4191,3976,2788,5555,1152,1441,327,1299,959,224,122,52,35,27,16,7,16,16,0,VVD
Hof van Twente,7180,5123,1608,1678,3631,1454,251,283,63,206,307,39,22,28,18,25,7,5,1,2,0,VVD
Hollands Kroon,9944,5729,2980,2219,2337,1587,460,397,76,455,719,88,50,61,24,37,17,7,5,6,0,VVD
Hoogeveen,6611,7959,3252,3079,4821,1234,2382,380,597,340,431,92,26,35,20,18,13,5,6,13,0,PVDA
Hoogezand-Sappemeer,3082,7598,1894,2495,1016,877,740,302,76,355,278,56,32,22,22,13,4,9,1,6,0,PVDA
Hoorn,10981,10827,3805,4057,2206,3018,456,887,90,1017,1243,169,88,112,49,32,21,9,12,5,0,VVD
Horst aan de Maas,6585,3868,2839,3654,3750,1657,103,367,22,276,446,68,48,28,19,22,7,2,6,2,0,VVD
Houten,9003,6119,2264,1881,2334,2887,1551,898,693,510,474,93,43,24,17,11,10,1,2,4,0,VVD
Huizen,8677,4840,2050,1459,2142,2072,1342,459,608,524,501,65,40,22,12,14,11,3,6,3,0,VVD
Hulst,3921,3721,1953,1664,1458,644,94,168,28,245,271,36,22,19,12,20,6,53,10,1,0,VVD
IJsselstein,6649,4382,2023,1446,1507,1495,404,334,205,311,408,45,28,14,18,7,5,4,3,4,0,VVD
Kaag en Braassem,6402,2524,1688,901,1832,1342,173,287,67,273,377,48,19,14,22,20,5,4,4,0,0,VVD
Kampen,5346,5953,2153,2445,3785,1191,4415,462,3274,317,337,61,36,47,21,12,3,16,4,4,0,PVDA
Kapelle,2000,1386,562,606,928,356,445,86,1004,105,97,5,13,4,3,8,2,14,5,0,0,VVD
Katwijk,9948,4279,3620,1751,5236,1360,3437,291,3549,502,599,104,44,18,35,28,16,7,8,9,0,VVD
Kerkrade,3255,5911,5874,3891,1539,853,78,284,19,536,503,92,75,53,24,23,15,3,5,8,0,PVDA
Koggenland,5311,2278,1193,893,1674,870,72,223,13,238,376,36,37,27,8,7,4,3,5,3,0,VVD
Kollumerland en Nieuwkruisland,1244,1787,670,739,1529,213,593,64,124,116,82,11,11,6,12,3,7,3,1,3,0,PVDA
Korendijk,1889,1014,708,417,557,301,291,89,1242,110,100,16,10,7,2,7,2,1,0,1,0,VVD
Krimpen aan den IJssel,4378,3494,1842,943,1181,977,1159,263,2372,309,258,35,21,11,10,12,7,0,2,6,0,VVD
Laarbeek,3713,2317,1445,2013,1493,755,37,152,6,145,260,39,15,10,11,19,7,2,0,1,0,VVD
Landerd,2851,1587,861,1594,1177,570,26,111,4,91,197,24,10,10,7,9,1,3,2,3,0,VVD
Landgraaf,3460,5125,4813,3540,1451,930,106,308,18,472,451,67,58,64,17,27,5,2,1,5,0,PVDA
Landsmeer,2362,1610,638,463,247,595,45,148,21,144,145,19,6,10,4,3,5,0,2,0,0,VVD
Langedijk,5580,3351,1429,1275,1546,1178,428,396,47,333,359,48,50,25,21,21,12,4,2,3,0,VVD
Lansingerland,13328,4992,3154,1404,2970,2478,1671,473,379,579,548,100,39,32,26,45,11,6,4,8,0,VVD
Laren,3857,933,362,295,480,685,36,123,9,134,106,15,10,2,5,0,6,0,3,0,0,VVD
Leek,2271,3794,773,1041,1245,623,942,234,139,166,154,32,31,10,8,5,6,4,1,4,0,PVDA
Leerdam,2864,2615,1283,749,1026,469,783,131,1002,163,152,23,20,8,5,3,1,12,2,1,0,VVD
Leeuwarden,8778,22341,4005,6069,3835,3706,1809,1313,203,1151,616,250,128,88,52,37,28,6,6,7,0,PVDA
Leeuwarderadeel,1132,2481,400,636,921,305,235,86,24,91,56,14,12,11,4,2,0,1,1,1,0,PVDA
Leiden,14204,20845,6180,5869,2733,10546,1303,3364,243,2001,969,408,124,67,31,61,42,17,19,15,0,PVDA
Leiderdorp,5202,3975,1372,1079,1165,1767,317,430,167,338,324,46,14,20,10,9,7,2,2,1,0,VVD
Leidschendam-Voorburg,14689,8781,4178,2590,3394,4750,700,946,174,1136,1063,158,77,54,22,49,18,4,16,4,0,VVD
Lelystad,10254,9790,5624,3649,1858,2142,1324,695,290,939,1040,202,110,79,59,37,17,9,5,17,0,VVD
Lemsterland,2448,1980,714,691,935,431,211,91,67,102,119,20,27,7,12,17,0,0,1,1,0,VVD
Leudal,5968,3398,3261,2538,2627,1314,90,362,30,300,533,46,55,20,19,25,7,22,4,0,0,VVD
Leusden,6555,3555,1063,1055,1831,1716,984,525,350,306,332,44,50,19,5,11,11,4,7,6,0,VVD
Liesveld,1542,853,408,248,761,171,870,49,884,53,86,5,5,8,3,2,2,0,0,0,0,VVD
Lingewaal,1980,1319,746,356,796,288,499,75,351,103,115,12,6,1,10,39,0,2,0,0,0,VVD
Lingewaard,8288,6629,2580,3029,2435,2078,154,464,37,382,525,54,47,35,40,24,6,5,1,5,0,VVD
Lisse,5148,2190,1269,757,1403,1020,291,198,689,225,350,34,33,5,15,21,4,1,2,2,0,VVD
Littenseradiel,1519,2104,295,540,1331,358,168,144,13,109,39,29,17,12,6,4,2,0,1,4,0,PVDA
Lochem,7159,5606,997,1673,2215,2169,237,532,41,372,309,39,65,19,14,9,9,3,4,2,0,VVD
Loon op Zand,4253,2633,1630,1542,1239,831,80,184,74,217,374,34,23,20,9,9,3,2,3,3,0,VVD
Lopik,2645,980,981,375,1231,327,675,77,621,108,127,16,5,7,6,5,1,2,2,1,0,VVD
Loppersum,952,1993,392,682,877,313,555,184,92,125,71,12,11,11,6,1,3,1,2,0,0,PVDA
Losser,3213,2901,1431,1396,2288,689,99,138,25,123,322,29,20,16,4,17,3,2,3,1,0,VVD
Maasdonk,2005,968,765,1029,879,338,16,82,3,54,123,18,10,7,3,7,1,0,2,0,0,VVD
Maasdriel,4865,2258,2090,1342,1496,797,181,183,275,168,260,45,27,23,13,11,3,1,12,4,0,VVD
Maasgouw,3681,2502,2495,1611,1455,808,72,208,18,250,397,49,48,24,13,9,11,5,7,2,0,VVD
Maassluis,5273,4294,2384,1402,1673,1055,626,222,149,370,452,47,35,28,15,21,6,2,0,3,0,VVD
Maastricht,11894,17222,9022,7834,4223,6240,410,1849,59,1355,1168,248,172,96,52,40,47,6,9,11,0,PVDA
Marum,1380,1716,517,545,788,256,369,120,72,84,73,21,9,4,0,6,4,0,2,2,0,PVDA
