gemeente,CDA,CU,D66,Evangelische Partij Nederland,GL,Heel NL,Lijst 17,Nieuw Nederland,PVV,Partij TTn,PVDA,Partij voor Mens en Spirit (MenS),Partij voor de Dieren,Piratenpartij,SP,SGP,TROTS OP NEDERLAND LIJST RITA VERDONK,VVD,Partij
Wormerland,947.0,143.0,624.0,1.0,716.0,2.0,4.0,3.0,1359.0,1.0,1991.0,23.0,136.0,8.0,1127.0,15.0,73.0,2163.0,VVD
Woudenberg,1331.0,685.0,303.0,,240.0,,5.0,2.0,787.0,,730.0,17.0,62.0,8.0,360.0,1158.0,28.0,1512.0,VVD
Woudrichem,2203.0,1100.0,279.0,,295.0,,4.0,,1197.0,,1023.0,14.0,72.0,4.0,772.0,322.0,31.0,1582.0,CDA
Wûnseradiel,1822.0,230.0,289.0,,417.0,,2.0,1.0,741.0,1.0,1372.0,28.0,74.0,5.0,772.0,11.0,38.0,1168.0,CDA
Wymbritseradiel,2795.0,403.0,528.0,,569.0,,3.0,3.0,909.0,1.0,1653.0,36.0,67.0,5.0,985.0,25.0,36.0,1749.0,CDA
Zaanstad,5878.0,1333.0,4920.0,11.0,5834.0,22.0,59.0,23.0,13762.0,16.0,19615.0,212.0,1428.0,101.0,8977.0,206.0,539.0,15544.0,PVDA
Zaltbommel,2214.0,1045.0,825.0,,679.0,,10.0,8.0,2115.0,2.0,2312.0,49.0,146.0,6.0,1063.0,2021.0,67.0,2845.0,VVD
Zandvoort,752.0,39.0,671.0,,538.0,,7.0,,1913.0,11.0,1559.0,43.0,202.0,30.0,696.0,4.0,56.0,3482.0,VVD
Zederik,2227.0,937.0,200.0,,218.0,,1.0,1.0,917.0,,949.0,4.0,73.0,2.0,491.0,950.0,34.0,1412.0,CDA
Zeevang,330.0,33.0,241.0,,255.0,2.0,3.0,1.0,634.0,1.0,721.0,6.0,69.0,2.0,289.0,3.0,41.0,1297.0,VVD
Zeewolde,1605.0,1086.0,678.0,10.0,592.0,,12.0,4.0,1584.0,,1280.0,46.0,133.0,11.0,773.0,138.0,77.0,3787.0,VVD
Zeist,3712.0,1222.0,3506.0,,3002.0,7.0,27.0,8.0,4035.0,8.0,6704.0,202.0,498.0,51.0,2353.0,631.0,110.0,9098.0,VVD
Zevenaar,3458.0,168.0,1189.0,3.0,1073.0,6.0,19.0,4.0,2894.0,2.0,3824.0,48.0,227.0,13.0,2336.0,17.0,99.0,3676.0,PVDA
Zijpe,1060.0,54.0,368.0,1.0,395.0,2.0,6.0,1.0,1046.0,7.0,1401.0,30.0,106.0,5.0,600.0,8.0,59.0,2098.0,VVD
Zoetermeer,6061.0,1873.0,5056.0,,4132.0,13.0,60.0,12.0,12516.0,5.0,13171.0,208.0,980.0,117.0,6417.0,619.0,421.0,17036.0,VVD
Zoeterwoude,983.0,59.0,394.0,,351.0,,7.0,,648.0,,801.0,15.0,70.0,5.0,387.0,33.0,23.0,1178.0,VVD
Zuidhorn,2212.0,1828.0,569.0,6.0,862.0,,5.0,3.0,814.0,1.0,2327.0,41.0,123.0,11.0,965.0,186.0,27.0,1472.0,PVDA
Zuidplas,3107.0,1425.0,1364.0,,1015.0,3.0,25.0,3.0,3593.0,3.0,3228.0,42.0,275.0,18.0,1915.0,1486.0,208.0,6473.0,VVD
Zundert,2579.0,64.0,541.0,,431.0,,5.0,1.0,2129.0,2.0,1343.0,28.0,112.0,6.0,1142.0,3.0,126.0,2655.0,VVD
Zutphen,2376.0,770.0,2126.0,4.0,2846.0,8.0,30.0,8.0,2912.0,2.0,7461.0,235.0,514.0,32.0,3281.0,34.0,107.0,4328.0,PVDA
Zwartewaterland,2746.0,2171.0,278.0,,266.0,,2.0,3.0,1193.0,2.0,1530.0,12.0,57.0,5.0,740.0,2270.0,43.0,1447.0,CDA
Zwijndrecht,3314.0,1515.0,1240.0,,1083.0,1.0,28.0,3.0,4703.0,1.0,4161.0,54.0,358.0,20.0,2486.0,1036.0,144.0,5268.0,VVD
Zwolle,8557.0,6835.0,5362.0,,6237.0,10.0,65.0,9.0,6168.0,18.0,16748.0,200.0,813.0,115.0,6583.0,473.0,249.0,11244.0,PVDA
