gemeente,CDA,CU,D66,Evangelische Partij Nederland,GL,Heel NL,Lijst 17,Nieuw Nederland,PVV,Partij TTn,PVDA,Partij voor Mens en Spirit (MenS),Partij voor de Dieren,Piratenpartij,SP,SGP,TROTS OP NEDERLAND LIJST RITA VERDONK,VVD,Partij
Reimerswaal,2004.0,567.0,235.0,,254.0,,5.0,3.0,1754.0,,1258.0,16.0,103.0,8.0,813.0,3724.0,81.0,1606.0,SGP
Renkum,2663.0,411.0,2022.0,3.0,1695.0,4.0,9.0,5.0,1986.0,5.0,4176.0,92.0,299.0,25.0,1593.0,91.0,63.0,4608.0,VVD
Renswoude,812.0,176.0,69.0,,62.0,,,,387.0,,174.0,3.0,18.0,1.0,125.0,407.0,16.0,636.0,CDA
Reusel-De Mierden,1916.0,37.0,320.0,,223.0,1.0,8.0,3.0,1176.0,2.0,864.0,12.0,71.0,2.0,1103.0,6.0,66.0,1386.0,CDA
Rheden,3058.0,606.0,2082.0,13.0,2111.0,11.0,23.0,2.0,3448.0,6.0,6244.0,98.0,423.0,22.0,3029.0,70.0,99.0,5180.0,PVDA
Rhenen,1448.0,552.0,645.0,,535.0,1.0,3.0,,1910.0,2.0,1599.0,13.0,106.0,9.0,595.0,1652.0,33.0,2346.0,VVD
Ridderkerk,3137.0,1625.0,1110.0,,1105.0,6.0,20.0,1.0,5258.0,,4325.0,50.0,354.0,25.0,2485.0,2299.0,142.0,4694.0,PVV
Rijnwaarden,1041.0,39.0,267.0,2.0,283.0,1.0,2.0,2.0,1404.0,1.0,1141.0,33.0,58.0,4.0,819.0,1.0,32.0,982.0,PVV
Rijnwoude,2125.0,514.0,779.0,,511.0,,16.0,2.0,1546.0,1.0,1467.0,27.0,129.0,7.0,888.0,621.0,81.0,2811.0,VVD
Rijssen-Holten,4857.0,2808.0,613.0,,487.0,2.0,14.0,6.0,2354.0,3.0,2385.0,19.0,121.0,9.0,1018.0,5157.0,106.0,2985.0,SGP
Rijswijk,2841.0,510.0,2270.0,,1955.0,4.0,25.0,7.0,5415.0,2.0,4992.0,64.0,464.0,36.0,2207.0,88.0,182.0,6201.0,VVD
Roerdalen,2200.0,64.0,466.0,,517.0,5.0,6.0,2.0,3913.0,1.0,1614.0,41.0,176.0,11.0,1348.0,7.0,86.0,1978.0,PVV
Roermond,3686.0,187.0,1623.0,,1667.0,7.0,23.0,10.0,7932.0,4.0,4883.0,75.0,455.0,31.0,3282.0,17.0,184.0,5563.0,PVV
Roosendaal,6098.0,292.0,2114.0,,1908.0,12.0,25.0,6.0,8867.0,16.0,7234.0,91.0,463.0,32.0,4666.0,37.0,323.0,8888.0,VVD
Rotterdam,17726.0,6145.0,22351.0,54.0,21745.0,41.0,169.0,52.0,53912.0,94.0,73682.0,538.0,4961.0,404.0,26654.0,1906.0,1155.0,48920.0,PVDA
Rozendaal,116.0,12.0,117.0,,81.0,1.0,1.0,,75.0,,137.0,5.0,14.0,,34.0,4.0,2.0,461.0,VVD
Rucphen,1754.0,36.0,321.0,,320.0,,9.0,,4652.0,,1453.0,16.0,143.0,6.0,1059.0,5.0,120.0,2127.0,PVV
Schagen,1145.0,119.0,797.0,2.0,711.0,4.0,10.0,3.0,1462.0,14.0,2489.0,37.0,171.0,12.0,1208.0,10.0,72.0,2917.0,VVD
Schermer,525.0,37.0,208.0,2.0,182.0,4.0,2.0,4.0,432.0,,586.0,9.0,38.0,3.0,254.0,4.0,40.0,970.0,VVD
Scherpenzeel,1165.0,446.0,180.0,1.0,155.0,,1.0,1.0,701.0,,502.0,9.0,30.0,4.0,197.0,1003.0,18.0,1236.0,VVD
Schiedam,3077.0,595.0,2371.0,,2356.0,5.0,25.0,5.0,8331.0,12.0,8369.0,73.0,646.0,62.0,4261.0,147.0,237.0,6879.0,PVDA
Schiermonnikoog,144.0,32.0,72.0,,84.0,,1.0,,52.0,,237.0,2.0,16.0,,64.0,4.0,3.0,201.0,PVDA
Schijndel,2317.0,52.0,666.0,,578.0,1.0,11.0,3.0,2313.0,1.0,2012.0,35.0,110.0,10.0,1976.0,3.0,94.0,2581.0,VVD
Schinnen,1577.0,71.0,395.0,,479.0,1.0,6.0,2.0,2130.0,1.0,1285.0,35.0,99.0,8.0,1040.0,1.0,71.0,1255.0,PVV
Schoonhoven,1036.0,418.0,476.0,,405.0,2.0,2.0,,985.0,1.0,1246.0,20.0,95.0,12.0,572.0,165.0,41.0,1696.0,VVD
Schouwen-Duiveland,3516.0,945.0,904.0,,939.0,,20.0,5.0,3260.0,1.0,3433.0,69.0,281.0,23.0,1714.0,1828.0,134.0,5136.0,VVD
Simpelveld,1146.0,42.0,211.0,,273.0,3.0,5.0,,2003.0,3.0,1066.0,28.0,67.0,7.0,779.0,5.0,42.0,716.0,PVV
Sint Anthonis,2144.0,35.0,244.0,,254.0,1.0,3.0,1.0,754.0,1.0,650.0,23.0,44.0,5.0,1760.0,4.0,48.0,1400.0,CDA
Sint-Michielsgestel,3029.0,85.0,1253.0,,852.0,3.0,12.0,3.0,2568.0,1.0,2494.0,35.0,146.0,17.0,2149.0,16.0,146.0,3620.0,VVD
