"Category","Series 1"
"VVD",5505
"PVV (Partij voor de Vrijheid)",4593
"Christen Democratisch Appèl (CDA)",4110
"Partij van de Arbeid (P.v.d.A.)",3808
"SP (Socialistische Partij)",3481
"Democraten 66 (D66)",1584
"GROENLINKS",1313
"ChristenUnie",259
"Partij voor de Dieren",241
"TROTS OP NEDERLAND LIJST RITA VERDONK",185
"Partij voor Mens en Spirit (MenS)",99
"Piratenpartij",32
"Staatkundig Gereformeerde Partij (SGP)",17
"Lijst 17",15
"Heel NL",11
"Partij TTn",11
"Nieuw Nederland",1
