"Category","Series 1"
"VVD",2590
"Christen Democratisch Appèl (CDA)",1791
"Partij van de Arbeid (P.v.d.A.)",1231
"PVV (Partij voor de Vrijheid)",1135
"SP (Socialistische Partij)",981
"Democraten 66 (D66)",729
"GROENLINKS",487
"Partij voor de Dieren",94
"ChristenUnie",87
"TROTS OP NEDERLAND LIJST RITA VERDONK",57
"Partij voor Mens en Spirit (MenS)",20
"Staatkundig Gereformeerde Partij (SGP)",10
"Piratenpartij",8
"Heel NL",3
"Lijst 17",2
"Nieuw Nederland",2
"Partij TTn",1
