"Category","Series 1"
"VVD",3284
"Christen Democratisch Appèl (CDA)",3072
"Partij van de Arbeid (P.v.d.A.)",2847
"PVV (Partij voor de Vrijheid)",1654
"SP (Socialistische Partij)",1217
"Democraten 66 (D66)",952
"GROENLINKS",729
"Staatkundig Gereformeerde Partij (SGP)",227
"ChristenUnie",214
"Partij voor de Dieren",140
"TROTS OP NEDERLAND LIJST RITA VERDONK",79
"Partij voor Mens en Spirit (MenS)",41
"Heel NL",16
"Lijst 17",10
"Piratenpartij",2
"Nieuw Nederland",1
"Partij TTn",1
