"Category","Series 1"
"Christen Democratisch Appèl (CDA)",2993
"ChristenUnie",2273
"VVD",2018
"Staatkundig Gereformeerde Partij (SGP)",1769
"PVV (Partij voor de Vrijheid)",1572
"Partij van de Arbeid (P.v.d.A.)",1189
"SP (Socialistische Partij)",721
"Democraten 66 (D66)",350
"GROENLINKS",331
"Partij voor de Dieren",75
"TROTS OP NEDERLAND LIJST RITA VERDONK",47
"Partij voor Mens en Spirit (MenS)",15
"Evangelische Partij Nederland",14
"Nieuw Nederland",5
"Piratenpartij",4
"Lijst 17",3
