"Category","Series 1"
"VVD",891
"Christen Democratisch Appèl (CDA)",680
"PVV (Partij voor de Vrijheid)",612
"Partij van de Arbeid (P.v.d.A.)",514
"SP (Socialistische Partij)",364
"ChristenUnie",251
"GROENLINKS",182
"Democraten 66 (D66)",174
"Partij voor de Dieren",66
"Staatkundig Gereformeerde Partij (SGP)",56
"TROTS OP NEDERLAND LIJST RITA VERDONK",29
"Partij voor Mens en Spirit (MenS)",16
"Piratenpartij",3
"Lijst 17",1
"Nieuw Nederland",1
"Partij TTn",1
