"Category","Series 1"
"Christen Democratisch Appèl (CDA)",4054
"PVV (Partij voor de Vrijheid)",3003
"VVD",2878
"SP (Socialistische Partij)",2709
"Partij van de Arbeid (P.v.d.A.)",1900
"GROENLINKS",724
"Democraten 66 (D66)",624
"TROTS OP NEDERLAND LIJST RITA VERDONK",158
"Partij voor de Dieren",138
"ChristenUnie",69
"Partij voor Mens en Spirit (MenS)",34
"Lijst 17",17
"Piratenpartij",9
"Staatkundig Gereformeerde Partij (SGP)",6
"Partij TTn",4
"Heel NL",3
"Nieuw Nederland",2
