"Category","Series 1"
"Christen Democratisch Appèl (CDA)",2832
"Partij van de Arbeid (P.v.d.A.)",2104
"PVV (Partij voor de Vrijheid)",1556
"ChristenUnie",1282
"SP (Socialistische Partij)",1248
"VVD",912
"Staatkundig Gereformeerde Partij (SGP)",472
"GROENLINKS",369
"Democraten 66 (D66)",252
"Partij voor de Dieren",86
"Partij voor Mens en Spirit (MenS)",35
"TROTS OP NEDERLAND LIJST RITA VERDONK",23
"Piratenpartij",9
"Lijst 17",4
"Partij TTn",3
"Evangelische Partij Nederland",2
"Nieuw Nederland",2
