"Category","Series 1"
"Christen Democratisch Appèl (CDA)",2747
"VVD",2170
"Staatkundig Gereformeerde Partij (SGP)",2011
"Partij van de Arbeid (P.v.d.A.)",1765
"PVV (Partij voor de Vrijheid)",1759
"SP (Socialistische Partij)",1062
"GROENLINKS",540
"Democraten 66 (D66)",525
"ChristenUnie",428
"Partij voor de Dieren",188
"TROTS OP NEDERLAND LIJST RITA VERDONK",103
"Partij voor Mens en Spirit (MenS)",27
"Piratenpartij",12
"Lijst 17",8
"Nieuw Nederland",5
"Partij TTn",1
