"Category","Series 1"
"VVD",5136
"Christen Democratisch Appèl (CDA)",3516
"Partij van de Arbeid (P.v.d.A.)",3433
"PVV (Partij voor de Vrijheid)",3260
"Staatkundig Gereformeerde Partij (SGP)",1828
"SP (Socialistische Partij)",1714
"ChristenUnie",945
"GROENLINKS",939
"Democraten 66 (D66)",904
"Partij voor de Dieren",281
"TROTS OP NEDERLAND LIJST RITA VERDONK",134
"Partij voor Mens en Spirit (MenS)",69
"Piratenpartij",23
"Lijst 17",20
"Nieuw Nederland",5
"Partij TTn",1
