"Category","Series 1"
"Christen Democratisch Appèl (CDA)",1221
"VVD",1091
"ChristenUnie",823
"PVV (Partij voor de Vrijheid)",700
"Staatkundig Gereformeerde Partij (SGP)",698
"Partij van de Arbeid (P.v.d.A.)",690
"SP (Socialistische Partij)",320
"Democraten 66 (D66)",162
"GROENLINKS",148
"Partij voor de Dieren",42
"TROTS OP NEDERLAND LIJST RITA VERDONK",35
"Partij voor Mens en Spirit (MenS)",7
"Lijst 17",6
"Piratenpartij",2
"Heel NL",1
"Nieuw Nederland",1
"Partij TTn",1
