"Category","Series 1"
"Christen Democratisch Appèl (CDA)",2144
"SP (Socialistische Partij)",1760
"VVD",1400
"PVV (Partij voor de Vrijheid)",754
"Partij van de Arbeid (P.v.d.A.)",650
"GROENLINKS",254
"Democraten 66 (D66)",244
"TROTS OP NEDERLAND LIJST RITA VERDONK",48
"Partij voor de Dieren",44
"ChristenUnie",35
"Partij voor Mens en Spirit (MenS)",23
"Piratenpartij",5
"Staatkundig Gereformeerde Partij (SGP)",4
"Lijst 17",3
"Heel NL",1
"Nieuw Nederland",1
"Partij TTn",1
