"Category","Series 1"
"VVD",4801
"Partij van de Arbeid (P.v.d.A.)",4173
"PVV (Partij voor de Vrijheid)",4106
"Christen Democratisch Appèl (CDA)",3995
"SP (Socialistische Partij)",3253
"Democraten 66 (D66)",1628
"GROENLINKS",1406
"Partij voor de Dieren",224
"ChristenUnie",186
"TROTS OP NEDERLAND LIJST RITA VERDONK",130
"Lijst 17",73
"Partij voor Mens en Spirit (MenS)",32
"Piratenpartij",20
"Staatkundig Gereformeerde Partij (SGP)",13
"Heel NL",6
"Partij TTn",4
"Nieuw Nederland",2
