"Category","Series 1"
"VVD",6951
"Christen Democratisch Appèl (CDA)",3563
"PVV (Partij voor de Vrijheid)",3185
"Partij van de Arbeid (P.v.d.A.)",2287
"Democraten 66 (D66)",1314
"SP (Socialistische Partij)",1238
"GROENLINKS",854
"ChristenUnie",760
"Staatkundig Gereformeerde Partij (SGP)",301
"Partij voor de Dieren",231
"TROTS OP NEDERLAND LIJST RITA VERDONK",120
"Partij voor Mens en Spirit (MenS)",59
"Piratenpartij",29
"Lijst 17",19
"Nieuw Nederland",8
"Partij TTn",2
