"Category","Series 1"
"Christen Democratisch Appèl (CDA)",1735
"VVD",1113
"Partij van de Arbeid (P.v.d.A.)",1106
"PVV (Partij voor de Vrijheid)",718
"SP (Socialistische Partij)",631
"GROENLINKS",351
"Democraten 66 (D66)",297
"ChristenUnie",249
"Staatkundig Gereformeerde Partij (SGP)",144
"Partij voor de Dieren",72
"Partij voor Mens en Spirit (MenS)",32
"TROTS OP NEDERLAND LIJST RITA VERDONK",31
"Lijst 17",4
"Piratenpartij",2
"Nieuw Nederland",1
