"Category","Series 1"
"VVD",6659
"Christen Democratisch Appèl (CDA)",3574
"Partij van de Arbeid (P.v.d.A.)",2961
"PVV (Partij voor de Vrijheid)",2833
"Democraten 66 (D66)",1846
"SP (Socialistische Partij)",1395
"GROENLINKS",1263
"ChristenUnie",371
"Partij voor de Dieren",260
"TROTS OP NEDERLAND LIJST RITA VERDONK",125
"Partij voor Mens en Spirit (MenS)",62
"Staatkundig Gereformeerde Partij (SGP)",50
"Piratenpartij",36
"Lijst 17",17
"Nieuw Nederland",4
"Heel NL",3
"Partij TTn",3
