"Category","Series 1"
"VVD",3428
"Christen Democratisch Appèl (CDA)",2502
"Partij van de Arbeid (P.v.d.A.)",2200
"PVV (Partij voor de Vrijheid)",1844
"SP (Socialistische Partij)",1563
"Democraten 66 (D66)",1258
"GROENLINKS",818
"Partij voor de Dieren",135
"ChristenUnie",108
"TROTS OP NEDERLAND LIJST RITA VERDONK",50
"Partij voor Mens en Spirit (MenS)",49
"Lijst 17",25
"Piratenpartij",19
"Staatkundig Gereformeerde Partij (SGP)",8
"Nieuw Nederland",4
"Partij TTn",3
"Heel NL",2
