"Category","Series 1"
"VVD",6103
"PVV (Partij voor de Vrijheid)",4251
"Partij van de Arbeid (P.v.d.A.)",4045
"Christen Democratisch Appèl (CDA)",2508
"Democraten 66 (D66)",1870
"SP (Socialistische Partij)",1835
"GROENLINKS",1612
"ChristenUnie",519
"Partij voor de Dieren",307
"TROTS OP NEDERLAND LIJST RITA VERDONK",156
"Staatkundig Gereformeerde Partij (SGP)",107
"Partij voor Mens en Spirit (MenS)",60
"Piratenpartij",26
"Lijst 17",13
"Heel NL",10
"Partij TTn",5
