"Category","Series 1"
"Christen Democratisch Appèl (CDA)",2595
"Partij van de Arbeid (P.v.d.A.)",1927
"VVD",1872
"ChristenUnie",1567
"PVV (Partij voor de Vrijheid)",1307
"SP (Socialistische Partij)",688
"Democraten 66 (D66)",450
"GROENLINKS",376
"Staatkundig Gereformeerde Partij (SGP)",254
"Partij voor de Dieren",131
"TROTS OP NEDERLAND LIJST RITA VERDONK",52
"Partij voor Mens en Spirit (MenS)",24
"Lijst 17",7
"Evangelische Partij Nederland",5
"Piratenpartij",4
