"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",23448
"VVD",20950
"PVV (Partij voor de Vrijheid)",18490
"SP (Socialistische Partij)",15729
"Christen Democratisch Appèl (CDA)",12199
"Democraten 66 (D66)",10049
"GROENLINKS",9088
"ChristenUnie",1548
"Partij voor de Dieren",1465
"TROTS OP NEDERLAND LIJST RITA VERDONK",580
"Partij voor Mens en Spirit (MenS)",359
"Piratenpartij",235
"Lijst 17",139
"Staatkundig Gereformeerde Partij (SGP)",114
"Partij TTn",36
"Nieuw Nederland",30
"Heel NL",18
