"Category","Series 1"
"PVV (Partij voor de Vrijheid)",3149
"VVD",2820
"Christen Democratisch Appèl (CDA)",2043
"Partij van de Arbeid (P.v.d.A.)",1940
"SP (Socialistische Partij)",1371
"Democraten 66 (D66)",559
"GROENLINKS",498
"Partij voor de Dieren",190
"ChristenUnie",186
"Staatkundig Gereformeerde Partij (SGP)",136
"TROTS OP NEDERLAND LIJST RITA VERDONK",105
"Partij voor Mens en Spirit (MenS)",38
"Piratenpartij",14
"Lijst 17",9
"Partij TTn",2
"Heel NL",1
"Nieuw Nederland",1
