"Category","Series 1"
"VVD",1929
"PVV (Partij voor de Vrijheid)",1626
"Staatkundig Gereformeerde Partij (SGP)",1623
"Christen Democratisch Appèl (CDA)",1481
"Partij van de Arbeid (P.v.d.A.)",1383
"ChristenUnie",937
"SP (Socialistische Partij)",850
"GROENLINKS",384
"Democraten 66 (D66)",381
"Partij voor de Dieren",106
"TROTS OP NEDERLAND LIJST RITA VERDONK",53
"Lijst 17",13
"Partij voor Mens en Spirit (MenS)",13
"Piratenpartij",7
"Heel NL",2
"Nieuw Nederland",2
