"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",5466
"VVD",4828
"Christen Democratisch Appèl (CDA)",2040
"PVV (Partij voor de Vrijheid)",1926
"Democraten 66 (D66)",1673
"GROENLINKS",1669
"SP (Socialistische Partij)",1666
"ChristenUnie",710
"Partij voor de Dieren",244
"TROTS OP NEDERLAND LIJST RITA VERDONK",81
"Partij voor Mens en Spirit (MenS)",46
"Staatkundig Gereformeerde Partij (SGP)",42
"Piratenpartij",13
"Lijst 17",8
"Partij TTn",4
"Nieuw Nederland",1
