"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",3418
"VVD",2414
"Christen Democratisch Appèl (CDA)",1433
"SP (Socialistische Partij)",1341
"PVV (Partij voor de Vrijheid)",1004
"GROENLINKS",855
"Democraten 66 (D66)",796
"ChristenUnie",192
"Partij voor de Dieren",80
"Partij voor Mens en Spirit (MenS)",44
"TROTS OP NEDERLAND LIJST RITA VERDONK",41
"Staatkundig Gereformeerde Partij (SGP)",22
"Lijst 17",9
"Nieuw Nederland",5
"Piratenpartij",5
"Partij TTn",2
"Evangelische Partij Nederland",1
