"Category","Series 1"
"PVV (Partij voor de Vrijheid)",2003
"Christen Democratisch Appèl (CDA)",1146
"Partij van de Arbeid (P.v.d.A.)",1066
"SP (Socialistische Partij)",779
"VVD",716
"GROENLINKS",273
"Democraten 66 (D66)",211
"Partij voor de Dieren",67
"ChristenUnie",42
"TROTS OP NEDERLAND LIJST RITA VERDONK",42
"Partij voor Mens en Spirit (MenS)",28
"Piratenpartij",7
"Lijst 17",5
"Staatkundig Gereformeerde Partij (SGP)",5
"Heel NL",3
"Partij TTn",3
