"Category","Series 1"
"VVD",4374
"PVV (Partij voor de Vrijheid)",2925
"Partij van de Arbeid (P.v.d.A.)",2537
"Christen Democratisch Appèl (CDA)",1887
"SP (Socialistische Partij)",906
"Democraten 66 (D66)",856
"GROENLINKS",680
"Staatkundig Gereformeerde Partij (SGP)",665
"ChristenUnie",396
"Partij voor de Dieren",216
"TROTS OP NEDERLAND LIJST RITA VERDONK",109
"Lijst 17",17
"Partij voor Mens en Spirit (MenS)",17
"Piratenpartij",8
"Nieuw Nederland",6
"Heel NL",4
"Partij TTn",2
