"Category","Series 1"
"VVD",1902
"Partij van de Arbeid (P.v.d.A.)",1496
"PVV (Partij voor de Vrijheid)",1035
"Democraten 66 (D66)",485
"GROENLINKS",446
"SP (Socialistische Partij)",425
"Christen Democratisch Appèl (CDA)",402
"Partij voor de Dieren",101
"TROTS OP NEDERLAND LIJST RITA VERDONK",42
"ChristenUnie",37
"Staatkundig Gereformeerde Partij (SGP)",19
"Lijst 17",7
"Partij voor Mens en Spirit (MenS)",7
"Piratenpartij",7
"Partij TTn",4
"Nieuw Nederland",1
