"Category","Series 1"
"VVD",5073
"Partij van de Arbeid (P.v.d.A.)",2789
"Christen Democratisch Appèl (CDA)",2658
"PVV (Partij voor de Vrijheid)",1802
"Democraten 66 (D66)",1528
"GROENLINKS",1325
"SP (Socialistische Partij)",1229
"ChristenUnie",967
"Staatkundig Gereformeerde Partij (SGP)",268
"Partij voor de Dieren",200
"Partij voor Mens en Spirit (MenS)",79
"TROTS OP NEDERLAND LIJST RITA VERDONK",61
"Piratenpartij",19
"Lijst 17",10
"Partij TTn",7
"Nieuw Nederland",6
"Heel NL",5
