"Category","Series 1"
"VVD",2346
"PVV (Partij voor de Vrijheid)",1910
"Staatkundig Gereformeerde Partij (SGP)",1652
"Partij van de Arbeid (P.v.d.A.)",1599
"Christen Democratisch Appèl (CDA)",1448
"Democraten 66 (D66)",645
"SP (Socialistische Partij)",595
"ChristenUnie",552
"GROENLINKS",535
"Partij voor de Dieren",106
"TROTS OP NEDERLAND LIJST RITA VERDONK",33
"Partij voor Mens en Spirit (MenS)",13
"Piratenpartij",9
"Lijst 17",3
"Partij TTn",2
"Heel NL",1
