"Category","Series 1"
"VVD",3482
"PVV (Partij voor de Vrijheid)",1913
"Partij van de Arbeid (P.v.d.A.)",1559
"Christen Democratisch Appèl (CDA)",752
"SP (Socialistische Partij)",696
"Democraten 66 (D66)",671
"GROENLINKS",538
"Partij voor de Dieren",202
"TROTS OP NEDERLAND LIJST RITA VERDONK",56
"Partij voor Mens en Spirit (MenS)",43
"ChristenUnie",39
"Piratenpartij",30
"Partij TTn",11
"Lijst 17",7
"Staatkundig Gereformeerde Partij (SGP)",4
