"Category","Series 1"
"Christen Democratisch Appèl (CDA)",3600
"VVD",2995
"Partij van de Arbeid (P.v.d.A.)",2479
"PVV (Partij voor de Vrijheid)",2127
"SP (Socialistische Partij)",1480
"Democraten 66 (D66)",903
"GROENLINKS",607
"ChristenUnie",129
"Partij voor de Dieren",117
"TROTS OP NEDERLAND LIJST RITA VERDONK",110
"Partij voor Mens en Spirit (MenS)",48
"Staatkundig Gereformeerde Partij (SGP)",14
"Lijst 17",9
"Nieuw Nederland",7
"Piratenpartij",7
"Heel NL",2
"Partij TTn",2
