"Category","Series 1"
"VVD",6031
"Christen Democratisch Appèl (CDA)",4676
"Partij van de Arbeid (P.v.d.A.)",4676
"PVV (Partij voor de Vrijheid)",4272
"SP (Socialistische Partij)",3040
"Democraten 66 (D66)",1744
"GROENLINKS",1663
"Partij voor de Dieren",260
"ChristenUnie",191
"TROTS OP NEDERLAND LIJST RITA VERDONK",129
"Partij voor Mens en Spirit (MenS)",55
"Lijst 17",26
"Staatkundig Gereformeerde Partij (SGP)",24
"Piratenpartij",11
"Heel NL",6
"Evangelische Partij Nederland",5
"Partij TTn",5
