"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",5096
"PVV (Partij voor de Vrijheid)",2418
"VVD",2325
"SP (Socialistische Partij)",2074
"Christen Democratisch Appèl (CDA)",1300
"GROENLINKS",839
"Democraten 66 (D66)",706
"ChristenUnie",526
"Partij voor de Dieren",252
"TROTS OP NEDERLAND LIJST RITA VERDONK",96
"Staatkundig Gereformeerde Partij (SGP)",38
"Partij voor Mens en Spirit (MenS)",29
"Lijst 17",8
"Piratenpartij",8
"Evangelische Partij Nederland",6
"Nieuw Nederland",6
"Partij TTn",4
