"Category","Series 1"
"Christen Democratisch Appèl (CDA)",1915
"VVD",1818
"PVV (Partij voor de Vrijheid)",1475
"ChristenUnie",762
"Partij van de Arbeid (P.v.d.A.)",736
"Staatkundig Gereformeerde Partij (SGP)",484
"SP (Socialistische Partij)",474
"Democraten 66 (D66)",264
"GROENLINKS",258
"Partij voor de Dieren",78
"TROTS OP NEDERLAND LIJST RITA VERDONK",64
"Partij voor Mens en Spirit (MenS)",22
"Piratenpartij",7
"Lijst 17",5
"Heel NL",1
"Nieuw Nederland",1
"Partij TTn",1
