"Category","Series 1"
"Partij van de Arbeid (P.v.d.A.)",8379
"PVV (Partij voor de Vrijheid)",7001
"VVD",6306
"Christen Democratisch Appèl (CDA)",5441
"SP (Socialistische Partij)",3984
"Democraten 66 (D66)",2128
"GROENLINKS",1759
"ChristenUnie",1269
"Partij voor de Dieren",336
"TROTS OP NEDERLAND LIJST RITA VERDONK",261
"Partij voor Mens en Spirit (MenS)",117
"Staatkundig Gereformeerde Partij (SGP)",97
"Piratenpartij",53
"Lijst 17",14
"Partij TTn",9
"Nieuw Nederland",8
"Heel NL",5
